Colname,InitialGuessSpec,InitialGuessSpecChr,ChrSpec
secure_timestamp,col_character(),c,c
reporter_name,col_character(),c,c
email_reporter,col_character(),c,c
physician,col_character(),c,c
practice,col_character(),c,c
age_over89,col_double(),d,l
age,col_double(),d,i
country,col_character(),c,f
state,col_character(),c,f
sex,col_character(),c,f
race___0,col_double(),d,l
race___1,col_double(),d,l
race___2,col_double(),d,l
race___3,col_double(),d,l
race___4,col_double(),d,l
race___9,col_double(),d,l
race___10,col_double(),d,l
race_other,col_character(),c,c
ethnicity,col_double(),d,d
weight,col_double(),d,d
heightunits,col_double(),d,d
heightcm,col_double(),d,d
heightfeet,col_double(),d,d
heightin,col_double(),d,d
heighttotalin,col_double(),d,d
bmicm,col_double(),d,d
heightintocm,col_double(),d,d
bmiin,col_double(),d,d
bmi_final,col_double(),d,d
diagnosis,col_character(),c,f
pga,col_character(),c,f
med_cat___1,col_double(),d,l
med_cat___2,col_double(),d,l
med_cat___3,col_double(),d,l
med_cat___4,col_double(),d,l
med_cat___5,col_double(),d,l
med_cat___6,col_double(),d,l
med_cat___7,col_double(),d,l
biologic___1,col_double(),d,l
biologic___2,col_double(),d,l
biologic___3,col_double(),d,l
biologic___4,col_double(),d,l
biologic___5,col_double(),d,l
biologic___6,col_double(),d,l
biologic___7,col_double(),d,l
biologic___8,col_double(),d,l
inflixdosemg,col_double(),d,d
inflixdosemgkg,col_double(),d,d
inflixfreq,col_double(),d,d
adadosemg,col_double(),d,d
adadosemgkg,col_double(),d,d
adadosefreq,col_double(),d,d
vedodosemg,col_double(),d,d
vedodosemgkg,col_double(),d,d
vedofreq,col_double(),d,d
ukdosemg,col_double(),d,d
ukdosemgkg,col_double(),d,d
ukfreq,col_double(),d,d
cpdosemg,col_double(),d,d
cpdosemgkg,col_logical(),l,d
cpfreq,col_double(),d,d
godosemg,col_double(),d,d
godosemgkg,col_logical(),l,d
gofreq,col_double(),d,d
natdosemg,col_logical(),l,d
natdosemgkg,col_logical(),l,d
natfreq,col_logical(),l,d
otherdosemg,col_double(),d,d
otherdosemgkg,col_logical(),l,d
otherfreq,col_double(),d,d
asa___1,col_double(),d,l
asa___2,col_double(),d,l
sulfadose,col_double(),d,d
sulfafreq,col_double(),d,d
mesadose,col_double(),d,d
mesafreq,col_double(),d,d
immod___1,col_double(),d,l
immod___2,col_double(),d,l
immod___3,col_double(),d,l
immod___4,col_double(),d,l
immod___5,col_double(),d,l
mtxdose,col_double(),d,d
mtxfreq,col_double(),d,d
csdose,col_logical(),l,d
csfreq,col_logical(),l,d
tacdose,col_double(),d,d
tacfreq,col_double(),d,d
azadose,col_double(),d,d
azafreq,col_double(),d,d
mcpdose,col_double(),d,d
mcpfreq,col_double(),d,d
steroid___1,col_double(),d,d
steroid___2,col_double(),d,d
steroid___3,col_double(),d,d
buddose,col_double(),d,d
budfreq,col_double(),d,d
preddose,col_double(),d,d
predfreq,col_double(),d,d
ivsdose,col_double(),d,d
ivsfreq,col_double(),d,d
tofadose,col_double(),d,d
tofafreq,col_double(),d,d
othermed,col_character(),c,c
othermeddose,col_double(),d,d
othermedfreq,col_double(),d,d
medstopcovid,col_double(),d,d
medstopcovidchoice___1,col_double(),d,d
medstopcovidchoice___2,col_double(),d,d
medstopcovidchoice___3,col_double(),d,d
medstopcovidchoice___4,col_double(),d,d
medstopcovidchoice___5,col_double(),d,d
medstopcovidchoice___6,col_double(),d,d
medstopcovidchoice___7,col_double(),d,d
medstopcovidchoice___8,col_double(),d,d
medstopcovidchoice___9,col_double(),d,d
medstopcovidchoice___10,col_double(),d,d
medstopcovidchoice___11,col_double(),d,d
medstopcovidchoice___12,col_double(),d,d
medstopcovidchoice___13,col_double(),d,d
medstopcovidchoice___14,col_double(),d,d
medstopcovidchoice___15,col_double(),d,d
medstopcovidchoice___16,col_double(),d,d
medstopcovidchoice___17,col_double(),d,d
medstopcovidchoice___18,col_double(),d,d
